gov_code,portal_gov_name,city_code,city_name,nid_gov_code
1,القاهرة,3,الشروق,1
1,القاهرة,4,بدر,1
1,القاهرة,5,القاهرة الجديدة,1
1,القاهرة,6,العاصمة الادارية ,1
1,القاهرة,19,15 مايو,1
1,القاهرة,71,اكاسيا,1
1,القاهرة,83,مدينتى,1
1,القاهرة,90,مدينة الرحاب,1
2,الاسكندرية,10,برج العرب الجديدة,2
4,السويس,39,مدينه السويس,4
11,دمياط,21,دمياط الجديدة,11
11,دمياط,36,مدينه راس البر,11
12,الدقهلية,32,مدينه المنصورة,12
12,الدقهلية,85,المنصورة الجديدة,12
13,الشرقية,96,العاشر من رمضان,13
14,القليوبية,20,العبور,14
15,كفر الشيخ,37,مدينه كفر الشيخ,15
17,المنوفية,8,السادات,17
17,المنوفية,34,مدينه شبين الكوم,17
18,البحيرة,29,رشيد الجديده,18
21,الجيزة,1,السادس من اكتوبر,21
21,الجيزة,2,الشيخ زايد,21
21,الجيزة,23,6 أكتوبر الجديدة,21
21,الجيزة,24,حدائق اكتوبر,21
21,الجيزة,30,امبابه,21
21,الجيزة,66,تالة,21
21,الجيزة,72,المنتزه,21
22,بنى سويف,11,بنى سويف الجديدة,22
23,الفيوم,12,الفيوم الجديدة,23
23,الفيوم,33,مدينه الفيوم,23
24,المنيا,13,المنيا الجديدة,24
24,المنيا,27,ملوى الجديدة,24
24,المنيا,35,مدينه المنيا,24
25,اسيوط,14,أسيوط الجديدة,25
25,اسيوط,26,مدينة ناصر غرب ,25
26,سوهاج,15,سوهاج الجديدة,26
26,سوهاج,16,طيبة,26
26,سوهاج,22,مدينة اخميم,26
26,سوهاج,38,مدينه سوهاج,26
27,قنا,18,قنا الجديدة,27
27,قنا,25,غرب قنا,27
27,قنا,31,مدينه قنا,27
28,اسوان,17,أسوان الجديدة,28
29,الأقصر,28,مدينة طيبة,29
31,البحر الأحمر,73,مدينة الفيروز,31
31,البحر الأحمر,74,مدينة الكوثر,31
33,مطروح,84,العلمين الجديدة,33
